"","STUDENTID","DISTRICTID","PHOENIX","Y1SCHOOLID","Y3SCHOOLID","FAST","S13A","S13B","LUNCH_STATUS","ATTENDANCE_RATE","S2B","C3YRSTCH","P6","P5","P3A","P3B","P3C","P4A","P4B","P4C","Q11","Q10","Q8A","Q8B","Q8C","Q9A","Q9B","Q9C","R6","R5","R3A","R3B","R3C","R4A","R4B","R4C","S12A","S11","S9A","S9B","S9C","S10A","S10B","S10C","PHQ2","ATTENDANCE_PCT","FR_LUNCH"
"1736","E302103",3,"Phoenix School",302,NA,"FAST Program",NA,NA,NA,NA,NA,NA,5,3,1,2,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1737","E404025",4,"San Antonio School",404,402,"Control School",NA,NA,1,0.932,NA,5,2,4,1,1,1,2,2,2,2,2,1,2,2,3,2,2,1,4,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.2,"1"
"1738","E413031",4,"San Antonio School",413,413,"FAST Program",NA,NA,1,0.897,NA,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.7,"1"
"1739","E113027",1,"Phoenix School",113,113,"FAST Program",NA,NA,1,1,NA,3,2,2,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"1740","S418013",4,"San Antonio School",418,418,"FAST Program",NA,NA,1,0.904,NA,NA,6,4,3,4,4,3,4,3,6,4,3,4,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,"1"
"1741","E403005",4,"San Antonio School",403,403,"FAST Program",NA,NA,2,0.921,NA,5,2,2,1,1,3,1,1,3,5,4,1,2,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1,"1"
"1742","E048069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743","S416001",4,"San Antonio School",416,NA,"FAST Program",NA,NA,1,0.983,NA,NA,2,4,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"1744","S116051",1,"Phoenix School",116,NA,"FAST Program",NA,NA,1,0.978,NA,NA,2,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,"1"
"1745","E412046",4,"San Antonio School",412,426,"Control School",NA,NA,1,0.983,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"1746","E111016",1,"Phoenix School",111,NA,"Control School",NA,NA,1,0.944,NA,NA,4,1,1,2,1,1,3,1,0,3,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"1"
"1747","S322018",3,"Phoenix School",322,305,"FAST Program",NA,NA,1,0.983,NA,NA,3,2,2,2,1,2,2,1,6,4,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"1748","E406033",4,"San Antonio School",406,444,"FAST Program",NA,NA,1,1,NA,3,3,3,3,2,2,1,2,2,1,2,1,1,2,1,1,2,6,3,1,2,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"1749","E415026",4,"San Antonio School",415,NA,"FAST Program",NA,NA,1,0.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"1750","E424021",4,"San Antonio School",424,407,"Control School",NA,NA,1,0.955,NA,5,1,1,1,3,4,1,1,2,2,2,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,"1"
"1751","S046024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
